method,minimum,p10,q1,median,q3,p90,maximum,mean,n,lowest_count
Static,0,0,0,0.1179663873590253,13.359370090020136,25.943000065693152,51.740384893996371,7.5971835662317826,11000,5403
ACI,0,0.70637433313143694,2.1987131509399016,5.1837746801161604,12.041123156823698,20.777998111746616,44.95224143964036,8.1979343899990216,11000,393
AgACI,0,0,0,5.0903809092462282,16.659063719899375,29.784590640679628,59.548168440345691,10.27004711785292,11000,2852
EnbPI-RH,0,0.1552804735138236,1.1848622208547932,3.977494509215862,10.984551783080375,20.177878021915557,36.560571656111854,7.2418744289201085,11000,796
TSC,0,0.52142557718660953,1.9356493608344685,5.5411640162683407,10.65808908952506,16.241949236806256,35.349003121922465,7.2103962157548196,11000,496
EEE,0,0.037837787212502499,1.5530679221868793,5.2407203958868998,10.19421846485109,13.834238108650601,28.070270114250722,6.3626819638833929,11000,1060
